,State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Date Local,Time Local,Date GMT,Time GMT,Sample Measurement,Units of Measure,MDL,Uncertainty,Qualifier,Method Type,Method Code,Method Name,State Name,County Name,Date of Last Change
210289,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,00:00,2017-10-13,08:00,28.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210290,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,01:00,2017-10-13,09:00,30.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210291,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,02:00,2017-10-13,10:00,34.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210292,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,03:00,2017-10-13,11:00,47.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210293,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,04:00,2017-10-13,12:00,52.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210294,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,05:00,2017-10-13,13:00,50.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210295,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,06:00,2017-10-13,14:00,48.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210296,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,07:00,2017-10-13,15:00,43.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210297,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,08:00,2017-10-13,16:00,92.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210298,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,09:00,2017-10-13,17:00,119.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210299,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,10:00,2017-10-13,18:00,86.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210300,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,11:00,2017-10-13,19:00,102.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210301,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,12:00,2017-10-13,20:00,114.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210302,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,13:00,2017-10-13,21:00,64.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210303,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,14:00,2017-10-13,22:00,46.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210304,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,15:00,2017-10-13,23:00,60.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210305,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,16:00,2017-10-14,00:00,123.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210306,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,17:00,2017-10-14,01:00,57.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210307,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,18:00,2017-10-14,02:00,29.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210308,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,19:00,2017-10-14,03:00,25.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210309,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,20:00,2017-10-14,04:00,28.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210310,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,21:00,2017-10-14,05:00,22.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210311,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,22:00,2017-10-14,06:00,18.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
210312,6,1,11,88101,3,37.814781,-122.282347,WGS84,PM2.5 - Local Conditions,2017-10-13,23:00,2017-10-14,07:00,26.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218958,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,00:00,2017-10-13,08:00,49.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218959,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,01:00,2017-10-13,09:00,36.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218960,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,02:00,2017-10-13,10:00,53.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218961,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,03:00,2017-10-13,11:00,70.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218962,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,04:00,2017-10-13,12:00,85.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218963,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,05:00,2017-10-13,13:00,70.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218964,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,06:00,2017-10-13,14:00,87.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218965,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,07:00,2017-10-13,15:00,79.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218966,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,08:00,2017-10-13,16:00,81.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218967,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,09:00,2017-10-13,17:00,126.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218968,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,10:00,2017-10-13,18:00,116.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218969,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,11:00,2017-10-13,19:00,95.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218970,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,12:00,2017-10-13,20:00,99.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218971,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,13:00,2017-10-13,21:00,81.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218972,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,14:00,2017-10-13,22:00,51.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218973,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,15:00,2017-10-13,23:00,60.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218974,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,16:00,2017-10-14,00:00,104.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218975,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,17:00,2017-10-14,01:00,72.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218976,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,18:00,2017-10-14,02:00,50.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
218977,6,1,12,88101,3,37.793624,-122.263376,WGS84,PM2.5 - Local Conditions,2017-10-13,19:00,2017-10-14,03:00,39.0,Micrograms/cubic meter (LC),5.0,,,FEM,170,Met One BAM-1020 Mass Monitor w/VSCC - Beta Attenuation,California,Alameda,2018-01-18
